SWAB_NUMBER,VAC_CODE,CALF_ID,SEX,location,Producer,pinkeye,weight,Pinkeye_score,,extra
578,2,780,h,9,3,0,260,0,,
571,4,756,h,8,3,1,270,3,,
577,2,779,s,9,3,1,280,2,,
576,4,784,s,9,3,0,285,0,,
587,1,112,s,9,3,1,285,3,,
607,2,753,h,9,3,1,290,1,,
566,2,757,s,8,3,0,295,0,,
570,1,776,s,8,3,0,295,0,,
562,1,786,h,8,3,1,300,1,,
611,3,676,h,9,3,0,305,0,,
175,1,b0314,h,2,1,1,305,5,,
582,2,761,h,9,3,0,310,0,,
605,2,789,h,9,3,0,335,0,,
311,2,w1101,h,3,1,1,339,4,,
584,4,792,h,9,3,0,345,0,,
665,3,631,s,11,3,1,345,2
368,3,w2308,s,3,1,0,345,0
482,2,429,s,5,2,0,349,0
579,1,763,h,9,3,0,350,0
586,1,782,h,9,3,0,350,0
52,2,y404,h,1,1,0,354,0
569,1,781,h,8,3,0,355,0
596,2,731,h,9,3,0,355,0
39,1,y407,b,1,1,0,362,0
552,2,O54,h,7,2,0,364,0
54,4,w4308,h,1,1,0,366,0
546,1,OO7,s,7,2,0,367,0
612,3,746,h,9,3,0,370,0
472,2,b4010,h,4,1,0,370,0
498,1,409,h,6,2,0,372,0
32,4,y405,h,1,1,0,372,0
565,2,778,h,8,3,0,375,0
585,1,762,h,9,3,1,375,3
635,2,622,s,10,3,0,375,0
80,3,b0437,h,1,1,0,377,0
201,4,b0318,h,2,1,1,378,5
650,3,771,h,11,3,0,380,0
272,4,w0205,h,3,1,0,381,0
16,1,w4301,h,1,1,0,381,0
335,2,w2109,s,3,1,1,382,5
427,3,b0250,h,4,1,0,384,0
567,4,772,s,8,3,1,385,1
65,3,b0412,h,1,1,0,388,0
610,3,710,h,9,3,0,390,0
633,2,802,h,10,3,1,390,2
471,2,y403,h,4,1,0,391,0
544,1,358,h,7,2,0,392,0
190,1,b8007,h,2,1,1,392,4
9,2,w4310,h,1,1,0,393,0
81,3,b0452,h,1,1,1,394,2
563,1,766,h,8,3,0,395,0
583,4,767,h,9,3,0,395,0
600,4,741,h,9,3,0,395,0
658,3,745,h,11,3,1,395,2
564,1,580,s,8,3,0,395,0
109,3,b0472,s,1,1,0,395,0
86,4,b0427,s,1,1,0,397,0
237,2,w1224,s,3,1,0,398,0
500,4,458,b,6,2,0,400,0
641,4,803,h,11,3,0,400,0
602,4,777,s,9,3,0,400,0
123,3,b0214,s,2,1,1,400,3
55,2,b0434,h,1,1,0,401,0
99,3,b0467,s,1,1,0,404,0
76,2,b0470,s,1,1,0,406,0
160,4,b0120,h,2,1,0,407,0
50,3,w4313,h,1,1,0,410,0
547,3,282,s,7,2,0,410,0
209,2,b0340,h,2,1,1,412,1
486,4,276,h,5,2,0,414,0
648,1,733,s,11,3,0,415,0
36,1,w4315,h,1,1,0,416,0
271,2,w8208b,s,3,1,0,416,0
110,4,b2170,h,1,1,0,418,0
301,1,w4208,h,3,1,0,419,0
321,1,w2117,h,3,1,0,421,0
98,2,b0440,h,1,1,0,422,0
305,3,w9106,h,3,1,0,422,0
37,2,y319,h,1,1,0,422,0
148,2,b0355,h,2,1,1,426,5
27,2,w4326,s,1,1,1,428,2
439,2,b0201,s,4,1,0,428,0
496,3,319,s,5,2,0,430,0
651,2,662,s,11,3,0,430,0
191,3,b0304,s,2,1,0,430,0
205,3,b0352,s,2,1,1,432,2
278,4,w1220,h,3,1,1,433,5
48,1,y408,h,1,1,0,434,0
67,2,b0468,h,1,1,0,436,0
29,1,y335,b,1,1,0,440,0
