"AnimalID","feedlot","cohort","set13","brd50","inductionweight","mix_final","BVDV_PI_origin_FINAL","age_ind_est_m","PV_pre2_final","BVDV1","BVDV_binary","mix_final_v1","BVDV_PI_origin_FINAL_v1","age","weight"
"900 024000122660","10","PC05","PC05NE620276",1,481,"yes no 10+","PI animal in cohort",13,"0","1",1,"yes no","PI animal in cohort",0.13,0.481
"900 024000146122","9","MG04","MG04QABR0262",0,431,"yes no 4-9","PI animal in cohort",27,"0","5",1,"yes no","PI animal in cohort",0.27,0.431
"900 024000148522","9","MG04","MG04QABR0262",0,382,"yes no 4-9","PI animal in cohort",27,"0","5",1,"yes no","PI animal in cohort",0.27,0.382
"900 024000178645","2","BC01","BC01QFBI0158",1,482,"yes no 4-9","PI animal in group_28",16,"0","5",1,"yes no","PI animal before cohort",0.16,0.482
"900 024000276437","7","JL09","JL09NG083136",1,388,"yes no 2-3","no BVDV in cohort",26,"0","0",0,"yes no","no BVDV in cohort",0.26,0.388
"942 000002075327","7","JL20","JL20NK290861",0,430,"no no 2-3","no BVDV in cohort",16,"0","0",0,"no no","no BVDV in cohort",0.16,0.43
"942 000002165149","7","JL20","JL20NK290861",0,452,"no no 2-3","no BVDV in cohort",16,"0","0",0,"no no","no BVDV in cohort",0.16,0.452
"942 000002165199","7","JL20","JL20NK290861",0,434,"no no 2-3","no BVDV in cohort",16,"0","0",0,"no no","no BVDV in cohort",0.16,0.434
"942 000002182872","7","JL20","JL20NK290861",1,416,"no no 2-3","no BVDV in cohort",16,"0","0",0,"no no","no BVDV in cohort",0.16,0.416
"942 000002194501","7","JL20","JL20NK290861",0,462,"no no 2-3","no BVDV in cohort",16,"0","0",0,"no no","no BVDV in cohort",0.16,0.462
"942 000002196710","7","JL20","JL20NK290861",0,474,"no no 2-3","no BVDV in cohort",16,"0","0",0,"no no","no BVDV in cohort",0.16,0.474
"942 000002293578","7","JL20","JL20NK290861",0,438,"no no 2-3","no BVDV in cohort",16,"0","0",0,"no no","no BVDV in cohort",0.16,0.438
"942 000002405807","4","CR18","CR18NI520205",0,410,"no no 10+","PI animal in cohort",28,"0","4",1,"no no","PI animal in cohort",0.28,0.41
"942 000002574039","4","CR18","CR18NI520205",0,480,"no no 10+","PI animal in cohort",28,"0","5",1,"no no","PI animal in cohort",0.28,0.48
"942 000002583385","4","CR18","CR18NI520205",1,477,"no no 10+","PI animal in cohort",28,"0","5",1,"no no","PI animal in cohort",0.28,0.477
"951 000006118048","14","YB07","YB07SA551689",0,504,"yes yes no","TI but no PI in cohort",24,"0","3",1,"yes yes","TI but no PI in cohort",0.24,0.504
"951 000006120326","14","YB07","YB07SA551689",0,542,"yes yes no","TI but no PI in cohort",24,"0","0",0,"yes yes","TI but no PI in cohort",0.24,0.542
"951 000008758452","8","KW04","KW04QHWM0435",0,352,"yes no no","no BVDV in cohort",13,"0","2",1,"yes no","no BVDV in cohort",0.13,0.352
"951 000008903170","2","BC11","BC11QGST0112",0,432,"yes no 4-9","PI animal in cohort",11,"1","5",1,"yes no","PI animal in cohort",0.11,0.432
"951 000009210666","2","BC02","BC02NF282854",0,432,"yes no 10+","PI animal in cohort",28,"0","0",0,"yes no","PI animal in cohort",0.28,0.432
"951 000009211635","2","BC02","BC02NF282854",0,426,"yes no 10+","PI animal in cohort",28,"0","0",0,"yes no","PI animal in cohort",0.28,0.426
"951 000009841805","9","MG06","MG06NF560404",0,499,"yes no 4-9","TI but no PI in cohort",21,"0","1",1,"yes no","TI but no PI in cohort",0.21,0.499
"951 000009842996","9","MG06","MG06NF560404",0,500,"yes no 4-9","TI but no PI in cohort",21,"0","2",1,"yes no","TI but no PI in cohort",0.21,0.5
"951 000009843364","9","MG06","MG06NF560404",0,435,"yes no 4-9","TI but no PI in cohort",21,"0","5",1,"yes no","TI but no PI in cohort",0.21,0.435
"951 000009958103","4","CR05","CR05ND262542",1,416,"no no 10+","PI animal in cohort",23,"0","1",1,"no no","PI animal in cohort",0.23,0.416
"951 000009958118","4","CR05","CR05ND262542",1,412,"no no 10+","PI animal in cohort",23,"0","0",0,"no no","PI animal in cohort",0.23,0.412
"951 000009958278","4","CR05","CR05ND262542",1,424,"no no 10+","PI animal in cohort",23,"0","1",1,"no no","PI animal in cohort",0.23,0.424
"951 000009958394","4","CR05","CR05ND262542",1,441,"no no 10+","PI animal in cohort",23,"0","0",0,"no no","PI animal in cohort",0.23,0.441
"951 000009958477","4","CR05","CR05ND262542",1,470,"no no 10+","PI animal in cohort",23,"0","1",1,"no no","PI animal in cohort",0.23,0.47
"951 000009958516","4","CR05","CR05ND262542",1,449,"no no 10+","PI animal in cohort",23,"0","1",1,"no no","PI animal in cohort",0.23,0.449
"951 000009958624","4","CR05","CR05ND262542",1,475,"no no 10+","PI animal in cohort",23,"0","1",1,"no no","PI animal in cohort",0.23,0.475
"951 000009958884","4","CR05","CR05ND262542",1,451,"no no 10+","PI animal in cohort",23,"0","0",0,"no no","PI animal in cohort",0.23,0.451
"951 000009959228","4","CR05","CR05ND262542",1,492,"no no 10+","PI animal in cohort",23,"0","2",1,"no no","PI animal in cohort",0.23,0.492
"951 000009959428","4","CR05","CR05ND262542",1,437,"no no 10+","PI animal in cohort",23,"0","0",0,"no no","PI animal in cohort",0.23,0.437
"951 000009959766","4","CR05","CR05ND262542",1,469,"no no 10+","PI animal in cohort",23,"0","0",0,"no no","PI animal in cohort",0.23,0.469
"951 000009959787","4","CR05","CR05ND262542",1,476,"no no 10+","PI animal in cohort",23,"0","0",0,"no no","PI animal in cohort",0.23,0.476
"951 000009959871","4","CR05","CR05ND262542",0,480,"no no 10+","PI animal in cohort",23,"0","0",0,"no no","PI animal in cohort",0.23,0.48
"951 000009959910","4","CR05","CR05ND262542",1,494,"no no 10+","PI animal in cohort",23,"0","0",0,"no no","PI animal in cohort",0.23,0.494
"951 000009959926","4","CR05","CR05ND262542",1,422,"no no 10+","PI animal in cohort",23,"0","1",1,"no no","PI animal in cohort",0.23,0.422
"951 000009959972","4","CR05","CR05ND262542",1,502,"no no 10+","PI animal in cohort",23,"0","1",1,"no no","PI animal in cohort",0.23,0.502
"951 000010100655","8","KW12","KW12QJJD0200",0,404,"yes no 2-3","no BVDV in cohort",13,"1","5",1,"yes no","no BVDV in cohort",0.13,0.404
"951 000010733113","2","BC04","BC04QFIL0193",1,440,"yes no 10+","TI but no PI in cohort",16,"1","4",1,"yes no","TI but no PI in cohort",0.16,0.44
"951 000010763094","4","CR04","CR04NC504298",1,467,"no no 10+","PI animal in cohort",20,"0","0",0,"no no","PI animal in cohort",0.2,0.467
"951 000010763946","2","BC02","BC02NF282854",0,484,"yes no 10+","PI animal in cohort",28,"0","0",0,"yes no","PI animal in cohort",0.28,0.484
"951 000010812189","2","BC02","BC02NF282854",0,456,"yes no 10+","PI animal in cohort",28,"0","0",0,"yes no","PI animal in cohort",0.28,0.456
"951 000011497429","8","KW04","KW04QHWM0435",0,400,"yes no no","no BVDV in cohort",13,"0","1",1,"yes no","no BVDV in cohort",0.13,0.4
"951 000011636298","8","KW13","KW13QKTA0504",0,376,"yes no no","no BVDV in cohort",15,"0","3",1,"yes no","no BVDV in cohort",0.15,0.376
