"","AnimalID","feedlot","cohort","Y","A","age","weight","mix_hist","PIgroup","PV_vacc","ps.re","ps.fe"
"69","951 000012796110",1,"AS02",1,0,0.21,0.384,"no no","PI animal in cohort",0,0.24295259179041,0.199401816553211
"70","951 000012796751",1,"AS02",1,0,0.21,0.391,"no no","PI animal in cohort",0,0.238391078922268,0.19513850813253
"71","951 000012796838",1,"AS02",1,0,0.21,0.363,"no no","PI animal in cohort",0,0.2569892711443,0.212609519849715
"80","951 000013066552",1,"AS02",1,0,0.21,0.349,"no no","PI animal in cohort",0,0.266636754132204,0.221763274843299
"81","951 000013066592",1,"AS02",0,0,0.21,0.355,"no no","PI animal in cohort",0,0.262474033996764,0.217806097934288
"82","951 000013066759",1,"AS02",1,0,0.21,0.385,"no no","PI animal in cohort",0,0.242297333485222,0.198788516465385
"83","951 000013066837",1,"AS02",1,0,0.21,0.369,"no no","PI animal in cohort",0,0.252925221991384,0.20877186562341
"84","951 000013066907",1,"AS02",1,0,0.21,0.375,"no no","PI animal in cohort",0,0.248903912263132,0.204985448425776
"85","951 000013066927",1,"AS02",1,0,0.21,0.338,"no no","PI animal in cohort",0,0.274376658222095,0.22915086629732
"86","951 000013066968",1,"AS02",0,0,0.21,0.401,"no no","PI animal in cohort",0,0.23197735735176,0.189168427985772
"87","951 000013067329",1,"AS02",1,0,0.21,0.352,"no no","PI animal in cohort",0,0.264550151678204,0.21977828896145
"88","951 000013067426",1,"AS02",1,0,0.21,0.383,"no no","PI animal in cohort",0,0.243609052414922,0.20001653642713
"89","951 000013067458",1,"AS02",0,0,0.21,0.396,"no no","PI animal in cohort",0,0.235169076474085,0.192135795572725
"90","951 000013067658",1,"AS02",0,0,0.21,0.44,"no no","PI animal in cohort",0,0.208127648324915,0.167224856593878
"91","951 000013067951",1,"AS02",1,0,0.21,0.404,"no no","PI animal in cohort",0,0.230076893613417,0.187404939625347
"92","951 000013067996",1,"AS02",0,0,0.21,0.379,"no no","PI animal in cohort",0,0.246246900370722,0.20248962095852
"93","951 000013068040",1,"AS02",1,0,0.21,0.359,"no no","PI animal in cohort",0,0.259722254032381,0.215196424338579
"94","951 000013068215",1,"AS02",1,0,0.21,0.36,"no no","PI animal in cohort",0,0.259037242748989,0.214547563305883
"95","951 000013068234",1,"AS02",1,0,0.21,0.368,"no no","PI animal in cohort",0,0.253599602212789,0.209407916078302
"96","951 000013068398",1,"AS02",0,1,0.21,0.374,"no no","PI animal in cohort",0,0.249571152251519,0.205612960831353
"276","982 000040644030",1,"AS03",1,0,0.19,0.489,"yes no","TI but no PI in cohort",0,0.295933254611741,0.232149878828879
"280","982 000050000858",1,"AS03",1,0,0.19,0.4,"yes no","TI but no PI in cohort",0,0.366009139824971,0.29861544356359
"281","982 000050001764",1,"AS03",1,0,0.19,0.402,"yes no","TI but no PI in cohort",0,0.364355828855231,0.297006815141321
"282","982 000051371593",1,"AS03",1,0,0.19,0.395,"yes no","TI but no PI in cohort",0,0.370156181804538,0.302658798980249
"346","982 000083243660",1,"AS03",1,1,0.19,0.466,"yes no","TI but no PI in cohort",0,0.313302635424511,0.248290819011371
"493","982 000112191424",1,"AS03",1,1,0.19,0.473,"yes no","TI but no PI in cohort",0,0.307957581280638,0.243299895117081
"494","982 000112192110",1,"AS03",1,1,0.19,0.502,"yes no","TI but no PI in cohort",0,0.286366796681862,0.223356557990712
"495","982 000112192134",1,"AS03",1,1,0.19,0.528,"yes no","TI but no PI in cohort",0,0.267800954804983,0.20649017294795
